date,USD_CHF,EUR_GBP,USD_CAD,GBP_JPY,EUR_USD,EUR_JPY,EUR_CHF,GBP_USD,USD_JPY
2017-01-02 12:08:00,0,0,0,1,0,1,,0,1
2017-01-02 12:13:00,1,0,1,0,1,0,,1,0
2017-01-02 12:16:00,1,1,1,1,0,0,0,1,0
2017-01-02 12:20:00,0,0,0,0,0,0,,0,0
2017-01-02 12:23:00,0,,1,0,0,1,,0,1
2017-01-02 12:26:00,1,,0,1,1,0,,1,0
2017-01-02 12:29:00,0,1,0,0,0,0,0,0,0
2017-01-02 12:32:00,0,,1,1,0,1,0,0,1
2017-01-02 12:35:00,1,,0,,1,0,0,0,0
2017-01-02 12:38:00,1,0,1,,,0,1,0,1
2017-01-02 12:41:00,0,0,1,0,,0,0,0,0
2017-01-02 12:44:00,1,1,0,1,1,1,1,1,1
2017-01-02 12:47:00,1,0,0,1,1,1,0,0,1
2017-01-02 12:50:00,0,0,1,,0,0,0,1,0
2017-01-02 12:53:00,1,1,1,,0,0,0,0,0
2017-01-02 12:56:00,0,1,,1,1,1,1,1,1
2017-01-02 12:59:00,1,0,,1,0,0,0,1,0
2017-01-02 13:02:00,1,1,,0,1,0,1,0,0
2017-01-02 13:05:00,1,0,,1,0,1,0,1,1
2017-01-02 13:08:00,1,0,0,0,1,1,1,0,0
2017-01-02 13:12:00,0,1,0,0,0,0,0,0,0
2017-01-02 13:15:00,0,0,1,0,1,0,0,0,0
2017-01-02 13:18:00,0,1,0,1,0,1,0,1,1
2017-01-02 13:21:00,0,0,1,,0,0,0,0,0
2017-01-02 13:24:00,0,1,0,,,0,0,0,0
2017-01-02 13:27:00,1,0,0,,,1,1,0,1
2017-01-02 13:30:00,1,1,0,0,0,0,1,1,0
2017-01-02 13:33:00,1,1,0,1,0,0,0,1,0
2017-01-02 13:36:00,0,,0,,0,1,0,0,0
2017-01-02 13:39:00,0,,0,,1,1,1,1,1
2017-01-02 13:42:00,0,0,1,1,0,0,0,1,1
2017-01-02 13:45:00,0,0,,0,1,0,1,0,1
2017-01-02 13:48:00,1,0,,1,1,1,0,0,0
2017-01-02 13:51:00,0,0,,,0,0,0,0,0
2017-01-02 13:57:00,0,0,,,1,0,1,1,1
2017-01-02 14:00:00,1,1,1,1,1,1,0,0,1
2017-01-02 14:03:00,0,1,1,0,0,0,0,1,1
2017-01-02 14:06:00,1,0,0,,0,1,0,0,0
2017-01-02 14:09:00,1,,0,,,0,,0,1
2017-01-02 14:13:00,,,0,,,0,,0,1
2017-01-02 14:16:00,,,,,0,1,,1,1
2017-01-02 14:19:00,1,,,,,1,1,,0
2017-01-02 14:22:00,0,,,,,0,,,1
2017-01-02 14:25:00,0,0,,,0,1,,0,0
2017-01-02 14:28:00,1,1,1,0,0,0,,1,0
2017-01-02 14:31:00,1,1,1,,,0,,0,0
2017-01-02 14:34:00,0,0,0,,,0,1,1,0
2017-01-02 14:37:00,1,1,1,1,0,1,1,0,1
2017-01-02 14:40:00,0,1,0,1,1,1,0,1,1
2017-01-02 14:43:00,1,1,1,,1,1,1,1,0
2017-01-02 14:46:00,0,0,0,,0,1,0,0,1
2017-01-02 14:49:00,1,1,0,1,1,1,1,1,0
2017-01-02 14:52:00,0,0,1,0,0,0,0,0,0
2017-01-02 14:55:00,0,1,0,1,1,0,1,1,0
2017-01-02 14:58:00,1,1,0,0,1,1,0,0,1
2017-01-02 15:01:00,0,1,0,1,0,1,1,0,1
2017-01-02 15:04:00,0,0,1,,,0,0,0,0
2017-01-02 15:07:00,1,0,0,,,1,1,1,1
2017-01-02 15:10:00,1,1,0,1,1,1,1,1,0
2017-01-02 15:13:00,0,0,,1,0,1,0,0,1
2017-01-02 15:16:00,1,0,,0,0,0,1,0,0
2017-01-02 15:19:00,1,1,,1,1,0,1,1,1
2017-01-02 15:22:00,0,0,,0,1,0,0,0,0
2017-01-02 15:25:00,0,0,,0,0,0,0,1,0
